ID,NAME,DESCRIPTION
ukbench00091,Short Sweatshorts,"Short shorts in sweatshirt fabric. Elasticized drawstring waistband, side pockets, and pleats at front."
ukbench00092,A-line Dress,"Sleeveless, A-line dress in jersey. Slightly deeper armholes, double-layer fabric at top, and side-seam pockets."
ukbench00093,Wide-leg Satin Pants,Wide-cut pants in sheer satin with an elasticized waistband and pleats at top.
ukbench00094,Wide-leg Satin Pants,Wide-cut pants in sheer satin with an elasticized waistband and pleats at top.
ukbench00095,Short Denim Shorts,"Short 5-pocket shorts in washed stretch denim with heavily distressed details, regular waist, and raw-edge hems."
ukbench00096,Short Denim Shorts,"Short 5-pocket shorts in washed stretch denim with heavily distressed details, regular waist, and raw-edge hems."
ukbench00097,Fine-knit Cardigan,Fine-knit cardigan with no buttons. 3/4-length sleeves with sewn cuffs.
ukbench00098,Flared Tank Top,"CONSCIOUS. Wide-cut, A-line tank top in jersey with slits at sides. Made from recycled polyester."
ukbench00099,Flared Tank Top,"CONSCIOUS. Wide-cut, A-line tank top in jersey with slits at sides. Made from recycled polyester."
ukbench00100,Flared Tank Top,"CONSCIOUS. Wide-cut, A-line tank top in jersey with slits at sides. Made from recycled polyester."
ukbench00101,Lace-trimmed Cotton Shorts,"Shorts in woven cotton fabric with wide legs, elastication at waist, side pockets, and wide lace trim at hems."
ukbench00102,Jersey Jumpsuit,"Jumpsuit in jersey with narrow shoulder straps and short legs. Wrap-front bodice, smocking at waist, and side pockets."
ukbench00103,Patterned Jersey Pants,"Pants in soft jersey with a printed pattern, an elasticized waistband, and side pockets."
ukbench00104,Patterned Jersey Pants,"Pants in soft jersey with a printed pattern, an elasticized waistband, and side pockets."
ukbench00105,Patterned Jersey Pants,"Pants in soft jersey with a printed pattern, an elasticized waistband, and side pockets."
ukbench00106,Jacket,"Straight-cut jacket in slightly stretchy, woven fabric. Patch pockets at front and no buttons. Unlined."
ukbench00107,Linen T-shirt,T-shirt in linen jersey.
ukbench00108,Maxi Dress,"Long dress in jersey with a scoop neckline at front. Short sleeves, elasticized seam at waist, and slits at sides."
ukbench00109,Maxi Dress,"Long dress in jersey with a scoop neckline at front. Short sleeves, elasticized seam at waist, and slits at sides."
ukbench00110,Maxi Dress,"Long dress in jersey with a scoop neckline at front. Short sleeves, elasticized seam at waist, and slits at sides."
