COUNTY_ID,COUNTY,TOWN_ID,TOWN,M_F_RAT,P_H_CNT,P_DEN,DEPENDENCY_RAT,A0A14_A15A65_RAT,A65UP_A15A64_RAT,A65_A0A14_RAT,INFO_TIME
63000,臺北市,63000090,南港區,95.68,2.62,5609.09,37.61,18.91,18.7,98.85,105Y12M
63000,臺北市,63000070,萬華區,96.83,2.46,21863.38,40.91,16.36,24.55,150.08,105Y12M
10014,臺東縣,10014100,大武鄉,109.26,2.49,90.22,33.69,15.26,18.43,120.79,105Y12M
10014,臺東縣,10014090,太麻里鄉,114.21,2.42,116.96,40.16,16.01,24.15,150.89,105Y12M
10014,臺東縣,10014020,成功鎮,112.36,2.66,100.08,38.95,13.65,25.3,185.31,105Y12M
10014,臺東縣,10014060,池上鄉,109.11,2.61,101.29,43.95,14.73,29.22,198.37,105Y12M
10014,臺東縣,10014040,卑南鄉,112.25,2.62,42.27,36.36,14.62,21.74,148.72,105Y12M
10014,臺東縣,10014130,延平鄉,115.74,3.31,7.73,33.45,22.84,10.61,46.43,105Y12M
10014,臺東縣,10014070,東河鄉,123.46,2.3,41.32,42.56,12.1,30.46,251.83,105Y12M
10014,臺東縣,10014140,金峰鄉,105.58,3.22,9.49,33.58,21.67,11.91,54.95,105Y12M
10014,臺東縣,10014080,長濱鄉,130.21,2.53,47.68,44.99,11.89,33.1,278.25,105Y12M
10014,臺東縣,10014120,海端鄉,114.26,3.93,4.87,34.9,24.85,10.05,40.43,105Y12M
10014,臺東縣,10014050,鹿野鄉,114.5,2.63,89.39,40.3,13.35,26.95,201.83,105Y12M
10014,臺東縣,10014150,達仁鄉,119.84,2.43,11.5,27.54,13.54,14.01,103.48,105Y12M
10014,臺東縣,10014110,綠島鄉,109.8,3.37,246.75,25.98,12.48,13.5,108.13,105Y12M
10014,臺東縣,10014010,臺東市,100.67,2.69,969.02,37.4,18.79,18.62,99.1,105Y12M
10014,臺東縣,10014030,關山鎮,109.49,2.76,150.01,42.27,16.37,25.9,158.19,105Y12M
10014,臺東縣,10014160,蘭嶼鄉,102.35,2.81,105.04,28.72,20.13,8.58,42.64,105Y12M
67000,臺南市,67000150,七股區,107.06,2.88,210.37,42.35,14.79,27.56,186.41,105Y12M
67000,臺南市,67000080,下營區,106.49,2.69,730.95,42.74,14.58,28.16,193.17,105Y12M
67000,臺南市,67000110,大內區,115.02,2.56,141.68,47.63,13.03,34.6,265.64,105Y12M
67000,臺南市,67000220,山上區,110.44,2.74,263.97,39.75,11.51,28.24,245.38,105Y12M
67000,臺南市,67000370,中西區,94.69,2.51,12295.05,42.04,18.01,24.02,133.37,105Y12M
67000,臺南市,67000270,仁德區,103.03,2.74,1470.2,32.1,15.65,16.45,105.17,105Y12M
67000,臺南市,67000090,六甲區,106.91,2.91,331.71,39.44,15.57,23.87,153.28,105Y12M
67000,臺南市,67000170,北門區,103.14,2.65,256.98,34.56,11.7,22.87,195.53,105Y12M
67000,臺南市,67000340,北區,95,2.63,12755.51,36.89,18.43,18.45,100.13,105Y12M
67000,臺南市,67000260,左鎮區,127.81,2.51,66.49,49.33,9.63,39.7,412.46,105Y12M
67000,臺南市,67000310,永康區,97.5,2.8,5765.57,30.27,18.4,11.88,64.56,105Y12M
67000,臺南市,67000230,玉井區,107.45,2.78,187.01,43.27,13.32,29.95,224.77,105Y12M
67000,臺南市,67000030,白河區,109.26,2.66,227.99,47.72,13.41,34.31,255.75,105Y12M
67000,臺南市,67000360,安平區,90.49,2.61,5947.15,30.36,18.43,11.94,64.78,105Y12M
67000,臺南市,67000210,安定區,105.54,3.05,973.68,33.84,15.56,18.28,117.46,105Y12M
67000,臺南市,67000350,安南區,101.86,3.08,1783.52,31.33,18.87,12.46,66.06,105Y12M
67000,臺南市,67000140,西港區,102.71,3.05,736.53,34.64,13.82,20.82,150.71,105Y12M
67000,臺南市,67000120,佳里區,98.45,2.89,1526.83,35.62,16.08,19.54,121.5,105Y12M
67000,臺南市,67000100,官田區,104.32,2.73,304.19,35.82,13.26,22.56,170.09,105Y12M
67000,臺南市,67000060,東山區,112.99,2.52,170.67,46.1,13.12,32.98,251.46,105Y12M
67000,臺南市,67000320,東區,92.32,2.61,14001.16,36.53,19.96,16.58,83.07,105Y12M
67000,臺南市,67000250,南化區,117.74,3.08,51.53,42.48,12.32,30.16,244.9,105Y12M
67000,臺南市,67000330,南區,98.46,2.77,4612.28,33.56,14.06,19.5,138.67,105Y12M
67000,臺南市,67000050,後壁區,108.36,2.71,333.24,48.26,13.06,35.2,269.53,105Y12M
67000,臺南市,67000040,柳營區,109.44,2.73,351.1,39.4,12.37,27.02,218.43,105Y12M
67000,臺南市,67000160,將軍區,103.75,2.74,477.64,38.68,10.87,27.82,256.02,105Y12M
67000,臺南市,67000070,麻豆區,103.04,2.85,830.25,41.11,16.57,24.54,148.15,105Y12M
67000,臺南市,67000190,善化區,101.57,2.76,861.69,41.37,21.24,20.13,94.79,105Y12M
67000,臺南市,67000180,新化區,103.99,3.05,704.62,35.8,15.59,20.2,129.58,105Y12M
67000,臺南市,67000200,新市區,100.86,3.01,758.59,34.78,19.36,15.41,79.62,105Y12M
67000,臺南市,67000010,新營區,97.77,2.7,2026.57,38.69,18.35,20.34,110.84,105Y12M
67000,臺南市,67000240,楠西區,112.54,2.8,90.28,43.49,13.02,30.47,234.08,105Y12M
67000,臺南市,67000130,學甲區,104.76,2.73,488.54,35.8,13.79,22.01,159.57,105Y12M
67000,臺南市,67000300,龍崎區,115.25,2.65,64.09,45.74,9.01,36.73,407.48,105Y12M
67000,臺南市,67000280,歸仁區,103.42,3.03,1221.88,32.25,17.44,14.81,84.88,105Y12M
67000,臺南市,67000290,關廟區,106.51,3.13,645.04,36.74,14.18,22.56,159.16,105Y12M
67000,臺南市,67000020,鹽水區,109.38,2.57,495.18,41.41,14.91,26.5,177.81,105Y12M
10016,澎湖縣,10016060,七美鄉,108.38,2.75,537.44,34.93,13.51,21.42,158.51,105Y12M
10016,澎湖縣,10016030,白沙鄉,110.1,2.91,487.82,38.07,14.36,23.71,165.16,105Y12M
10016,澎湖縣,10016040,西嶼鄉,106.36,2.82,449,42.93,14.7,28.24,192.13,105Y12M
10016,澎湖縣,10016010,馬公市,103.33,2.57,1816.32,33.53,15.72,17.81,113.26,105Y12M
10016,澎湖縣,10016050,望安鄉,115.59,2.55,372.29,39.2,13.35,25.85,193.7,105Y12M
10016,澎湖縣,10016020,湖西鄉,111.38,2.63,433.47,37.25,13.93,23.32,167.44,105Y12M
